city,province,Latitude,Longitude
دلبران,کردستان,35.2446523,47.9869563
دلیجان,مركزی,37.1927943,49.9302854
دلگشا,ایلام,33.4055827,46.594467
دیلمان,گیلان,36.8884879,49.906745
دلند,گلستان,37.0355462,55.0492231
دلوار,بوشهر,28.9481476,50.9562739
دماوند,تهران,35.7179802,52.0681882
دمق,همدان,35.4431296,48.8234849
دندی,زنجان,36.5541697,47.6207573
دهاقان,اصفهان,31.9344047,51.6547247
دهبارز,هرمزگان,27.4413347,57.1909085
دهج,كرمان,30.6907903,54.8777097
دهدز,خوزستان,31.707783,50.2885498
دهدشت,کهگیلویه و بویراحمد,30.6180396,51.3284494
دهرم,فارس,28.4921165,52.3036835
دهق,اصفهان,33.1049536,50.9629781
دهگلان,کردستان,35.280039,47.4189871
دهلران,ایلام,32.6914932,47.2674712
دیهوک,خراسان جنوبی,33.2929935,57.5169869
دیواندره,کردستان,35.9159662,47.0193315
دوبرجی,فارس,28.3071988,55.1923987
دوراهک,بوشهر,27.9471043,51.9598451
دورود,لرستان,33.4992998,49.0529575
دوزدوزان,آذربایجان شرقی,37.948976,47.119787
دوزه,فارس,28.7017719,52.9536255
دوساری,كرمان,28.4292459,57.9423801
دوست محمد,سیستان و بلوچستان,31.1427915,61.7909563
دوگنبدان,کهگیلویه و بویراحمد,,
دولت آباد,اصفهان,33.6091519,52.2002763
دولت آباد,خراسان رضوی,36.4371492,59.1666169
ری,تهران,35.680133,51.438073
رابر,كرمان,29.2907749,56.914165
راز,خراسان شمالی,37.9338042,57.1113879
رازقان,مركزی,35.3312924,49.9556045
رازمیان,قزوین,36.5411254,50.2117178
راسک,سیستان و بلوچستان,26.2368044,61.3987716
رامیان,گلستان,37.0150484,55.1424163
رامجرد,فارس,30.0755424,52.592567
رامسر,مازندران,36.9225518,50.6431897
رامشیر,خوزستان,30.8939518,49.4093497
رامهرمز,خوزستان,31.2780254,49.6020152
راین,كرمان,29.5781624,57.57765702776525
رانکوه,گیلان,37.0509408,50.2358103
راور,كرمان,31.2676737,56.8069974
رباط,کرمانشاه,34.2686793,46.8039666
رباط سنگ,خراسان رضوی,35.5460635,59.1938079
رباطکریم,تهران,,
ربط,آذربایجان غربی,37.7124914,44.688785
ریجاب,کرمانشاه,34.4733342,45.9824783
ریحان,كرمان,31.0976345,56.7439581
رحیم آباد,گیلان,37.0314749,50.326393
ریز,بوشهر,28.0517466,52.0837191
رزن,همدان,35.3884459,49.0344948
رزوه,اصفهان,32.8340748,50.567656862745366
رستم آباد,گیلان,36.897394,49.4915717
رستمکلا,مازندران,36.7135002,53.4406782
رشت,گیلان,37.204137,49.5635372
رشتخوار,خراسان رضوی,34.97783,59.62572044564483
رضی,اردبیل,38.6296398,48.0956519
رضوانشهر,اصفهان,32.7031948,51.104972
رضوانشهر,گیلان,37.5479126,49.1395774
رضویه,خراسان رضوی,36.2064831,59.7698334
رفسنجان,كرمان,30.402184,55.9941776
رفیع,خوزستان,31.5962386,47.8919447
رینه,مازندران,35.8819792,52.1697254
رویان,مازندران,36.5694026,51.9617002
روانسر,کرمانشاه,34.7161309,46.6508369
روداب,خراسان رضوی,36.0213972,57.3114353
رودیان,سمنان,36.3510635,55.0023106
رودبار,كرمان,28.0185535,58.0006441
رودبار,گیلان,36.8219055,49.4268249
رودبنه,گیلان,37.257511050000005,50.007586250919545
رویدر,هرمزگان,27.4646306,55.4191063
رودسر,گیلان,37.1381592,50.2927862
رودهن,تهران,35.734772,51.9063798
ریوش,خراسان رضوی,35.4751589,58.4586724
رونیز,فارس,29.1904364,53.7674276
زابل,سیستان و بلوچستان,31.0277779,61.4948211
زیار,اصفهان,32.5094459,51.9378864
زیارت,خراسان شمالی,37.4431601,57.8847592
زیارتعلی,هرمزگان,27.7411165,57.2239649
زارچ,یزد,31.9903361,54.2354245
زازران,اصفهان,32.6018472,51.497766
زاغه,لرستان,33.4999202,48.7059909
زاینده رود,اصفهان,32.3925131,51.2695725
زاهدان,سیستان و بلوچستان,29.4928874,60.8503017
زاهدشهر,فارس,28.7484346,53.8041063
زاویه,مركزی,38.8437238,47.0164581
زیباشهر,اصفهان,32.3865574,51.5679359
یزد,یزد,31.8882678,54.3642391
زیدآباد,كرمان,29.6004426,55.5367771
یزدان شهر,كرمان,30.8653247,56.3647809
زیرآب,مازندران,36.1797175,52.9770067
زرآباد,آذربایجان غربی,38.8071305,44.5842985
زرآباد,سیستان و بلوچستان,25.5961564,59.402519
زرقان,فارس,29.71914115,52.84288022559357
زرگرمحله,مازندران,36.52680945,52.61966859028014
زرین آباد,زنجان,36.4284545,48.2816192
زرند,كرمان,30.8134822,56.5672432
